"id","name","bat_side","side","avg_batter_y_position","avg_batter_x_position","avg_foot_sep","avg_stance_angle","avg_intercept_y_vs_batter","avg_intercept_y_vs_plate"
607043,"Nimmo, Brandon","L","L",28.26246512340836,31.48681166087718,25.3401542650291,-10.608802984349339,26.883388902610633,-1.3790762207977232
661388,"Contreras, William","R","R",28.540863058923392,27.95898782692904,30.04506215394045,5.169215823611726,30.208974537219877,1.6681114782964943
592885,"Yelich, Christian","L","L",27.755401750596146,29.9123471086608,32.757573749858445,0.9164511453709688,26.732612349748898,-1.0227894008472458
664040,"Lowe, Brandon","L","L",27.046270606855394,26.609439933688257,21.345255343912175,-3.0901769246587816,34.09797134482241,7.051700737967022
683002,"Henderson, Gunnar","L","L",26.66754126076994,25.816405320983904,31.049117573575572,-4.03828925254668,33.41835339001458,6.75081212924464
671732,"Butler, Lawrence","L","L",25.894135567710176,31.233727789957346,34.114516945871316,3.8669340575143742,28.828008041777494,2.933872474067319
679529,"Torkelson, Spencer","R","R",32.94405804309665,27.97822733840873,25.904277615071866,-17.339283813770223,30.68304821955189,-2.261009823544776
666182,"Bichette, Bo","R","R",27.366350478735974,25.0993177612157,33.76021066768393,2.4596655917326453,24.542980547030684,-2.823369931705295
682928,"Abrams, CJ","L","L",27.835222635617306,30.03325299345148,31.925725783490222,-3.7455253929743764,31.69524479784662,3.8600221622293165
663993,"Lowe, Nathaniel","L","L",26.28714598471269,29.976735819516804,32.98701670455947,-13.2296558225661,27.40149592293537,1.114349938222685
665487,"Tatis Jr., Fernando","R","R",26.262590514659344,28.96148895979504,24.609482745924197,-38.00667821728952,29.8693832342208,3.606792719561458
696100,"Goodman, Hunter","R","R",28.678585772690273,29.52527603927106,19.50669426071981,-19.64499985597598,38.77161917374245,10.093033401052166
695578,"Wood, James","L","L",30.969662434838785,30.133122591809357,28.001855423556606,-20.828725585002953,32.67824399080476,1.7085815559659778
547180,"Harper, Bryce","L","L",23.55895645995716,29.460070719572844,32.857641389957784,-16.3290333013044,33.19569535334528,9.63673889338813
666176,"Adell, Jo","R","R",26.084040827644387,28.094988596885646,38.15131245891476,-11.564060062829405,26.147007207224817,0.0629663795804308
650333,"Arraez, Luis","L","L",34.31262537479633,26.019936146158308,27.823414524007855,-25.769790552687606,31.48458970721108,-2.8280356675852505
592450,"Judge, Aaron","R","R",26.238280036372384,33.09666937729869,29.897402749925675,-5.541759449449395,30.55469974686863,4.316419710496247
641857,"McMahon, Ryan","L","L",24.003716552332662,32.03037079180328,42.67652574487007,0.2910776341390994,26.763090825845104,2.7593742735124356
666969,"García, Adolis","R","R",29.04954147192146,25.173342886382752,29.178020854785682,-16.666002261442102,31.312710860196418,2.263169388274959
694192,"Chourio, Jackson","R","R",24.74465257629376,30.415434926582137,40.252962431253295,1.5205974662649444,27.9517754323552,3.2071228560614378
702616,"Holliday, Jackson","L","L",25.861615602198782,27.564199662947093,24.72741485060181,-5.139562360838109,26.17659635944881,0.3149807572500298
673548,"Suzuki, Seiya","R","R",28.015625624251847,27.831184346335448,29.480800094299777,-4.510852630413838,34.521871716779806,6.506246092527962
663538,"Hoerner, Nico","R","R",29.755036201243716,27.563434194157754,28.879442407913707,-12.372045756111488,27.124674941061976,-2.6303612601817283
668715,"Steer, Spencer","R","R",29.04075955815314,25.626031295355475,34.798348065324205,-5.411414527968829,32.727444858270985,3.686685300117862
673237,"Diaz, Yainer","R","R",29.07505260972378,28.29610692459826,32.518713897195944,-1.458775475958361,32.410692096352456,3.3356394866286845
650490,"Díaz, Yandy","R","R",29.340035890577028,28.665182920901312,28.700613278708246,-29.573898241738448,29.90152617451173,0.561490283934702
683011,"Volpe, Anthony","R","R",28.66808613849478,29.201607080443285,26.932280419607274,3.876581103391703,25.01435277011619,-3.6537333683785835
514888,"Altuve, Jose","R","R",12.835284157711104,30.140000543993597,29.00969270877639,-19.52860799302407,30.10309380846272,17.26780965075162
680757,"Kwan, Steven","L","L",22.843090020264956,22.666924784528803,7.057485784640884,-16.366072311310845,29.79413493138488,6.95104491111992
691016,"Soderstrom, Tyler","L","L",28.7900324995533,31.46359613882218,33.12543424389739,-6.327785160692247,28.002545292937494,-0.7874872066157987
650402,"Torres, Gleyber","R","R",32.53485634897741,26.39517891889186,27.079689204731505,-32.42372819877997,30.340365590244474,-2.1944907587329405
683737,"Busch, Michael","L","L",30.976191564234636,26.491511118705393,31.414776582042435,0.4750087684205787,32.51814167063959,1.5419501064049472
678246,"Vargas, Miguel","R","R",30.588444424348474,28.067495654092316,28.699624669158446,-6.306910953223204,35.31319811280426,4.724753688455785
606192,"Hernández, Teoscar","R","R",30.733034242244635,29.887693330099456,27.493846382352572,-6.902163480762371,30.465091104296082,-0.26794313794854446
687597,"Beck, Jordan","R","R",17.651456159266406,29.47327953151512,31.654580060717688,-1.6959497901982743,27.62860030577603,9.97714414650963
682663,"Ramírez, Agustín","R","R",28.26196183147211,30.15480855084501,37.384032815346536,-16.235003138821668,30.34310475296744,2.081142921495337
621439,"Buxton, Byron","R","R",23.5645448775555,27.764556111202417,28.807564347007553,1.491477564319649,28.2401009541207,4.675556076565207
592663,"Realmuto, J.T.","R","R",31.46159234588772,27.4533394178903,26.204882994900206,-19.84006273359245,28.55238752714939,-2.909204818738329
647304,"Naylor, Josh","L","L",25.402862591007423,26.58322079323627,44.0193093238696,-4.489691320916456,25.30494898761085,-0.09791360339656983
672820,"Sosa, Lenyn","R","R",30.357342440857238,27.5184197077841,30.59869841326892,-7.896060639095106,32.720606300704105,2.36326385984688
687263,"Neto, Zach","R","R",18.396315015753824,21.574114493487063,39.79425753211781,-4.2654289007208925,36.30643605186694,17.91012103611313
663656,"Tucker, Kyle","L","L",27.85569555373153,30.200251897809984,36.31679448446596,-1.748123435680483,28.369481380768484,0.5137858270369532
