name,batter,bat_speed,attack_angle,vba,hba,zone_top,zone_bot,ttc,swing_length,side,batter_depth,batter_distance,contact_depth,avg,obp,slg,bb_rate,k_rate
Jorge Polanco,593871,71.139,9.485,-30.489,-10.52,39.996,19.272000000000002,0.139,7.219,L,26.733312366079037,28.583682055112337,4.855871685019014,0.265,0.326,0.495,8.0,15.6
Jorge Polanco,593871,71.139,9.485,-30.489,-10.52,39.996,19.272000000000002,0.139,7.219,R,21.64427368698429,25.53578590014871,12.510793082755256,0.265,0.326,0.495,8.0,15.6
Kyle Manzardo,700932,70.631,17.392,-37.025,-0.711,38.088,16.404,0.143,7.397,L,22.72112659068529,31.399889338266807,10.910463253112836,0.234,0.313,0.455,9.0,25.4
Cam Smith,701358,74.546,7.58,-38.108,-1.315,40.908,18.875999999999998,0.134,7.321,R,25.36194597706416,30.346725112388317,4.032137283018136,0.236,0.312,0.358,8.7,27.8
Michael Conforto,624424,74.155,10.407,-32.116,0.557,39.900000000000006,18.696,0.135,7.326,L,27.1435209124039,28.26722539190896,0.6016054762462918,0.199,0.305,0.333,11.5,24.9
Luis Rengifo,650859,69.582,7.249,-33.643,3.693,38.652,17.808,0.138,7.064,L,18.716321181310867,26.206997919920315,7.570166541000724,0.238,0.287,0.335,6.1,19.2
Luis Rengifo,650859,69.582,7.249,-33.643,3.693,38.652,17.808,0.138,7.064,R,17.894391905486064,26.75934615443454,9.639543867222072,0.238,0.287,0.335,6.1,19.2
Brooks Lee,686797,69.524,11.303,-30.895,-4.659,40.296,18.948,0.141,7.171,L,26.94533228344404,27.22053410219747,2.03175978348304,0.236,0.285,0.37,5.9,17.5
Brooks Lee,686797,69.524,11.303,-30.895,-4.659,40.296,18.948,0.141,7.171,R,26.14607998111811,29.475611039215725,6.368302630533795,0.236,0.285,0.37,5.9,17.5
Ramón Laureano,657656,72.176,15.545,-35.138,1.048,41.04,18.972,0.132,7.009,R,30.405645282864377,31.591877086188894,2.3724251342452067,0.281,0.342,0.512,7.2,24.4
